date,exch,cc_code,underly_code,type_code,prod_name,fut_date,opt_date,opt_strike,valuation_meth,max_array_value,contr_value_fact,sett_p,sett_meth,time_to_expr,margin_rate,base_volat,volat_scan_range,price_model
2020-12-09,NYM,C14,CL,OOF,C14 SHORT TERM ,2021-01-01,2020-12-01,48,EQTY ,130,1000,0.13,CASH ,0.013699,1,0.323058,42,B
2020-12-09,NYM,C14,CL,OOF,C14 SHORT TERM ,2021-01-01,2020-12-01,48,EQTY ,2420,1000,2.42,CASH ,0.013699,1,0.323058,42,B
2020-12-09,NYM,C14,CL,OOF,C14 SHORT TERM ,2021-01-01,2020-12-01,48.5,EQTY ,90,1000,0.09,CASH ,0.013699,1,0.323058,42,B
2020-12-09,NYM,C14,CL,OOF,C14 SHORT TERM ,2021-01-01,2020-12-01,48.5,EQTY ,2880,1000,2.88,CASH ,0.013699,1,0.323058,42,B
2020-12-09,NYM,C14,CL,OOF,C14 SHORT TERM ,2021-01-01,2020-12-01,49,EQTY ,70,1000,0.07,CASH ,0.013699,1,0.323058,42,B
2020-12-09,NYM,C14,CL,OOF,C14 SHORT TERM ,2021-01-01,2020-12-01,49,EQTY ,3360,1000,3.36,CASH ,0.013699,1,0.323058,42,B
2020-12-09,NYM,C14,CL,OOF,C14 SHORT TERM ,2021-01-01,2020-12-01,49.5,EQTY ,50,1000,0.05,CASH ,0.013699,1,0.323058,42,B
2020-12-09,NYM,C14,CL,OOF,C14 SHORT TERM ,2021-01-01,2020-12-01,49.5,EQTY ,3803,1000,3.84,CASH ,0.013699,0.9903646,0.323058,42,B
2020-12-09,NYM,C14,CL,OOF,C14 SHORT TERM ,2021-01-01,2020-12-01,50,EQTY ,40,1000,0.04,CASH ,0.013699,1,0.323058,42,B
2020-12-09,NYM,C14,CL,OOF,C14 SHORT TERM ,2021-01-01,2020-12-01,50,EQTY ,4091,1000,4.33,CASH ,0.013699,0.9448037,0.323058,42,B
2020-12-09,NYM,C14,CL,OOF,C14 SHORT TERM ,2021-01-01,2020-12-01,50.5,EQTY ,30,1000,0.03,CASH ,0.013699,1,0.323058,42,B
2020-12-09,NYM,C14,CL,OOF,C14 SHORT TERM ,2021-01-01,2020-12-01,50.5,EQTY ,4314,1000,4.82,CASH ,0.013699,0.8950207,0.323058,42,B
2020-12-09,NYM,C14,CL,OOF,C14 SHORT TERM ,2021-01-01,2020-12-01,51,EQTY ,20,1000,0.02,CASH ,0.013699,1,0.323058,42,B
